;;Tabla Pp/día;;;Tabla ETo/día;;;
Día real;;Día;Pp (mm);;Día;Eto (mm);;
1/10/21;;1;0;;1;4,9;;
2/10/21;;2;0;;2;5,0;;
3/10/21;;3;0;;3;4,3;;
4/10/21;;4;0;;4;5,0;;
5/10/21;;5;0;;5;5,3;;
6/10/21;;6;0;;6;5,0;;
7/10/21;;7;2,2;;7;5,7;;
8/10/21;;8;0;;8;5,3;;
9/10/21;;9;0;;9;2,8;;
10/10/21;;10;0;;10;4,8;;
11/10/21;;11;0;;11;4,6;;
12/10/21;;12;0;;12;6,3;;
13-10-2021;;13;2;;13;3,7;;
14-10-2021;;14;0,9;;14;4,8;;
15-10-2021;;15;0;;15;3,1;;
16-10-2021;;16;0;;16;5,1;;
17-10-2021;;17;0;;17;5,7;;
18-10-2021;;18;0;;18;5,8;;
19-10-2021;;19;0;;19;7,0;;
20-10-2021;;20;0;;20;7,0;;
21-10-2021;;21;0;;21;3,4;;
22-10-2021;;22;0;;22;4,9;;
23-10-2021;;23;0;;23;5,0;;
24-10-2021;;24;0;;24;5,7;;
25-10-2021;;25;0;;25;7,0;;
26-10-2021;;26;0;;26;7,6;;
27-10-2021;;27;0;;27;6,9;;
28-10-2021;;28;0;;28;6,1;;
29-10-2021;;29;0;;29;7,4;;
30-10-2021;;30;0;;30;7,7;;
31-10-2021;;31;0;;31;8,1;;
1/11/21;;32;0;;32;6,0;;
2/11/21;;33;0;;33;4,9;;
3/11/21;;34;0;;34;7,1;;
4/11/21;;35;0;;35;5,9;;
5/11/21;;36;0;;36;4,7;;
6/11/21;;37;0;;37;6,7;;
7/11/21;;38;0;;38;6,9;;
8/11/21;;39;0;;39;7,1;;
9/11/21;;40;0;;40;7,5;;
10/11/21;;41;0;;41;6,7;;
11/11/21;;42;0;;42;5,3;;
12/11/21;;43;0;;43;6,5;;
13-11-2021;;44;0;;44;6,5;;
14-11-2021;;45;0;;45;6,2;;
15-11-2021;;46;0;;46;7,5;;
16-11-2021;;47;0;;47;7,3;;
17-11-2021;;48;0;;48;7,6;;
18-11-2021;;49;0;;49;8,0;;
19-11-2021;;50;0;;50;7,9;;
20-11-2021;;51;0;;51;7,5;;
21-11-2021;;52;0;;52;7,7;;
22-11-2021;;53;0;;53;8,3;;
23-11-2021;;54;0;;54;8,6;;
24-11-2021;;55;0;;55;7,0;;
25-11-2021;;56;0;;56;5,2;;
26-11-2021;;57;0;;57;8,2;;
27-11-2021;;58;0;;58;7,2;;
28-11-2021;;59;0;;59;6,0;;
29-11-2021;;60;0;;60;7,6;;
30-11-2021;;61;0;;61;8,1;;
1/12/21;;62;0;;62;7,0;;
2/12/21;;63;0;;63;7,1;;
3/12/21;;64;0;;64;7,2;;
4/12/21;;65;0;;65;7,3;;
5/12/21;;66;0;;66;8,2;;
6/12/21;;67;0;;67;9,3;;
7/12/21;;68;0;;68;6,1;;
8/12/21;;69;0;;69;5,6;;
9/12/21;;70;0;;70;8,0;;
10/12/21;;71;0;;71;7,9;;
11/12/21;;72;0;;72;6,4;;
12/12/21;;73;0;;73;4,4;;
13-12-2021;;74;0;;74;6,2;;
14-12-2021;;75;0;;75;7,1;;
15-12-2021;;76;0;;76;7,0;;
16-12-2021;;77;0;;77;5,2;;
17-12-2021;;78;0;;78;5,4;;
18-12-2021;;79;0;;79;4,3;;
19-12-2021;;80;0;;80;5,5;;
20-12-2021;;81;0;;81;5,6;;
21-12-2021;;82;0;;82;5,6;;
22-12-2021;;83;0;;83;5,5;;
23-12-2021;;84;0;;84;5,5;;
24-12-2021;;85;0;;85;5,4;;
25-12-2021;;86;0;;86;5,5;;
26-12-2021;;87;0;;87;5,3;;
27-12-2021;;88;0;;88;5,0;;
28-12-2021;;89;0;;89;5,0;;
29-12-2021;;90;0;;90;5,5;;
30-12-2021;;91;0;;91;4,5;;
31-12-2021;;92;0;;92;5,5;;
1/1/22;;93;0;;93;5,4;;
2/1/22;;94;0;;94;5,2;;
3/1/22;;95;0;;95;5,3;;
4/1/22;;96;0;;96;5,4;;
5/1/22;;97;0;;97;5,5;;
6/1/22;;98;0;;98;5,5;;
7/1/22;;99;0;;99;5,5;;
8/1/22;;100;0;;100;5,5;;
9/1/22;;101;0;;101;5,5;;
10/1/22;;102;0;;102;4,9;;
11/1/22;;103;0;;103;5,1;;
12/1/22;;104;0;;104;5,2;;
13-01-2022;;105;0;;105;5,4;;
14-01-2022;;106;0;;106;5,2;;
15-01-2022;;107;0;;107;5,3;;
16-01-2022;;108;0;;108;5,4;;
17-01-2022;;109;0;;109;4,0;;
18-01-2022;;110;0;;110;3,7;;
19-01-2022;;111;0;;111;4,9;;
20-01-2022;;112;0;;112;4,8;;
21-01-2022;;113;0;;113;4,8;;
22-01-2022;;114;0;;114;4,9;;
23-01-2022;;115;0;;115;5,0;;
24-01-2022;;116;0;;116;5,1;;
25-01-2022;;117;0;;117;5,1;;
26-01-2022;;118;0;;118;5,2;;
27-01-2022;;119;0;;119;5,2;;
28-01-2022;;120;0;;120;5,1;;
29-01-2022;;121;0;;121;5,1;;
30-01-2022;;122;0;;122;5,0;;
